#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6374802;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374814;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374826;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374838;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
6374850;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;9d ;"ù";1;1;COM3;;
6374874;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374886;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374895;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374907;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374922;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
6374934;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;9c ;"ú";1;1;COM3;;
6374958;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374969;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374982;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374994;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375006;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;1e ;".";1;1;COM3;;
6375018;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;9b ;"õ";1;1;COM3;;
6375042;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375054;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375066;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6375078;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6375090;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6375102;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;99 ;"ô";1;1;COM3;;
6375126;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6375138;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
