#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6659406;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;2a ;"*";1;1;COM3;;
6659418;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6659430;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6659442;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;bb ;"»";1;1;COM3;;
6659454;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6659466;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;2b ;"+";1;1;COM3;;
6659482;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6659491;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6659504;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6659515;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;3f ;"?";1;1;COM3;;
6659692;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6659704;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6659716;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6659728;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6659874;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6659883;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;87 ;"‡";1;1;COM3;;
6659898;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6659909;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;78 ;"x";1;1;COM3;;
