#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6684094;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;15 ;".";1;1;COM3;;
6684106;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;50 ;"P";1;1;COM3;;
6684142;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684154;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684166;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684178;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;16 ;".";1;1;COM3;;
6684190;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4f ;"O";1;1;COM3;;
6684226;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684238;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684250;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684262;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;17 ;".";1;1;COM3;;
6684274;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4e ;"N";1;1;COM3;;
6684310;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684322;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684334;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684346;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;18 ;".";1;1;COM3;;
6684358;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4d ;"M";1;1;COM3;;
6684394;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684406;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684418;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684430;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6684442;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4c ;"L";1;1;COM3;;
6684478;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684490;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684501;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684514;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
6684526;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4b ;"K";1;1;COM3;;
6684562;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684574;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684586;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684598;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
6684610;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4a ;"J";1;1;COM3;;
6684646;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684657;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684670;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684682;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
6684694;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;49 ;"I";1;1;COM3;;
6684730;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684742;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684754;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684766;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
6684778;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;48 ;"H";1;1;COM3;;
6684814;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684826;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684838;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684850;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1e ;".";1;1;COM3;;
6684862;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;47 ;"G";1;1;COM3;;
6684898;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684910;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6684922;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684934;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1f ;".";1;1;COM3;;
6684946;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6684982;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6684994;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685006;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685018;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6685030;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;45 ;"E";1;1;COM3;;
6685066;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685077;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685090;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685102;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;21 ;"!";1;1;COM3;;
6685114;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;44 ;"D";1;1;COM3;;
6685164;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6685176;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6685188;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6685200;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;22 ;"""";1;1;COM3;;
6685212;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;43 ;"C";1;1;COM3;;
