#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6687112;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2d ;"-";1;1;COM3;;
6687141;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 38 95 ;".2.8ï";5;;COM3;;
6687148;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687160;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687172;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687184;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
6687196;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2c ;",";1;1;COM3;;
6687225;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 39 94 ;".2.9î";5;;COM3;;
6687232;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687244;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687256;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687268;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3a ;":";1;1;COM3;;
6687280;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2b ;"+";1;1;COM3;;
6687309;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 3a 93 ;".2.:ì";5;;COM3;;
6687316;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687327;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687340;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687352;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3b ;";";1;1;COM3;;
6687364;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2a ;"*";1;1;COM3;;
6687393;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 3b 92 ;".2.;í";5;;COM3;;
6687400;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687412;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687424;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687436;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3c ;"<";1;1;COM3;;
6687448;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;29 ;")";1;1;COM3;;
6687477;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 3c 91 ;".2.<ë";5;;COM3;;
6687484;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687496;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687508;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687520;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;3d ;"=";1;1;COM3;;
6687532;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;28 ;"(";1;1;COM3;;
6687561;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 3d 90 ;".2.=ê";5;;COM3;;
6687568;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687580;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687592;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
